step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
367,0.227427,0.309808,0.388827,0.525189,0.995433,0.478392
368,0.181317,0.264081,0.372629,0.494815,0.947876,0.447167
369,0.139522,0.292099,0.359875,0.463331,0.922301,0.429169
370,0.094400,0.288928,0.341585,0.428682,0.885005,0.410582
371,0.090247,0.272417,0.360241,0.419668,0.861438,0.408492
372,0.126085,0.268948,0.339385,0.416481,0.823060,0.391703
373,0.120910,0.204704,0.350350,0.407454,0.753592,0.375898
374,0.079248,0.254350,0.340427,0.424769,0.717742,0.385030
375,0.118285,0.275136,0.343538,0.406908,0.713728,0.390228
376,0.085963,0.241539,0.300573,0.405746,0.671150,0.364207
377,0.167065,0.266093,0.337201,0.384486,0.672546,0.363287
378,0.168872,0.261613,0.327481,0.353390,0.667383,0.355832
379,0.119964,0.272275,0.313309,0.363072,0.689708,0.349707
380,0.133511,0.256677,0.318981,0.379102,0.684085,0.352390
381,0.133287,0.259517,0.357468,0.393565,0.640243,0.354131
382,0.174149,0.241772,0.354253,0.420913,0.564159,0.366145
383,0.165139,0.290332,0.347913,0.440086,0.522130,0.368731
384,0.175278,0.307448,0.347752,0.471776,0.512358,0.386588
385,0.152485,0.339628,0.368176,0.466369,0.581662,0.400507
386,0.178394,0.325182,0.383089,0.462574,0.566166,0.400843
387,0.215104,0.335417,0.434402,0.487818,0.622213,0.426775
388,0.200504,0.341582,0.419600,0.509283,0.639715,0.435286
389,0.221206,0.330793,0.420148,0.528564,0.629323,0.444495
390,0.318474,0.362609,0.419299,0.511662,0.628288,0.449400
391,0.326532,0.383437,0.436669,0.510665,0.655827,0.462995
392,0.270545,0.404999,0.473443,0.494275,0.650903,0.474109
393,0.306418,0.427509,0.472113,0.534550,0.700000,0.498107
394,0.363507,0.448448,0.482612,0.545874,0.736515,0.515412
395,0.369599,0.438594,0.495212,0.590669,0.718917,0.525189
396,0.398590,0.452014,0.511980,0.565160,0.718264,0.533582
397,0.414974,0.475363,0.512483,0.587526,0.762614,0.544712
398,0.352551,0.489947,0.532954,0.580467,0.782327,0.563334
399,0.333902,0.507610,0.569276,0.634787,0.831632,0.588666
400,0.355934,0.456324,0.557001,0.603454,0.869303,0.575050
401,0.363324,0.480762,0.583736,0.659673,0.885034,0.595142
402,0.396853,0.510143,0.583142,0.656379,0.911294,0.607944
403,0.385579,0.523380,0.611833,0.688079,0.892043,0.628663
404,0.382645,0.545823,0.626923,0.708680,0.920717,0.645227
405,0.424481,0.549349,0.657204,0.741363,0.906653,0.660113
406,0.468123,0.560962,0.671107,0.767325,0.957604,0.682926
407,0.489653,0.575026,0.707807,0.789169,1.010058,0.706704
408,0.461626,0.596782,0.717561,0.805726,0.946113,0.714456
409,0.518715,0.638426,0.706829,0.831884,0.967709,0.731921
410,0.497279,0.657972,0.765424,0.880670,1.003173,0.766466
411,0.476531,0.615416,0.758963,0.859283,0.999133,0.754554
412,0.544860,0.610535,0.756921,0.850634,1.031159,0.762441
413,0.553084,0.603428,0.759924,0.835500,1.059662,0.762745
414,0.568403,0.636971,0.744047,0.845334,1.070043,0.768051
415,0.571778,0.629115,0.768843,0.868441,1.045354,0.777378
416,0.537068,0.638641,0.786488,0.855470,1.055597,0.783743
417,0.514364,0.646019,0.812964,0.880426,1.073396,0.798703
418,0.553920,0.651950,0.811905,0.883724,1.066308,0.804901
419,0.581861,0.651452,0.797137,0.904936,1.081749,0.818875
420,0.604868,0.664874,0.825868,0.922913,1.086429,0.828163
421,0.543718,0.666627,0.806487,0.940453,1.096035,0.832149
422,0.538297,0.691568,0.792649,0.982034,1.107161,0.841861
423,0.539995,0.698474,0.801651,0.975065,1.110025,0.850406
424,0.529441,0.702558,0.808175,0.967261,1.137446,0.846952
425,0.507661,0.731347,0.834628,1.010968,1.157687,0.856045
426,0.555895,0.720129,0.853175,0.982985,1.178978,0.873693
427,0.578662,0.729508,0.862067,0.952808,1.187579,0.874795
428,0.581427,0.730113,0.863466,0.986343,1.209918,0.889538
429,0.583752,0.729744,0.883493,1.012292,1.240917,0.902426
430,0.552134,0.757306,0.885521,1.032877,1.213183,0.903806
